State,JanTemp,JulyTemp
OH,27,71
NY,23,72
PA-NJ,29,74
GA,45,79
MD,35,77
AL,45,80
MA,30,74
CT,30,73
NY,24,70
OH,27,72
TN-GA,42,79
IL,26,76
OH-KY-IN,34,77
OH,28,71
OH,31,75
TX,46,85
OH,30,75
CO,30,73
MI,27,74
MI,24,72
TX,45,85
MI,24,72
NC,40,77
CT,27,72
TX,55,84
IN,29,75
MO,31,81
PA,32,74
CA,53,68
KY-IN,35,71
TN-AR-MS,42,82
FL,67,82
WI,20,69
MN-WI,12,73
TN,40,80
CT,30,72
LA,54,81
NY,33,77
PA-NJ,32,76
PA,29,72
OR,38,67
RI,29,72
PA,33,77
VA,39,78
NY,25,72
MO-IL,32,79
CA,55,70
CA,48,63
CA,49,68
WA,40,64
MA,28,74
NY,24,72
OH,26,73
NY,23,71
DC-MD-VA,37,78
KS,32,81
DE-NJ-MD,33,76
MA,24,70
PA,33,76
OH,28,72
